"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J10,J7,J9";"PinSocket_2x12_P2.54mm_Vertical";3;"Conn_02x12_Odd_Even";;;
2;"FID3,FID2,FID1";"Fiducial_0.5mm_Mask1mm";3;"Fiducial";;;
3;"H8,H7,H6,H5,H1,H2,H4,H3";"MountingHole_3.2mm_M3_Pad_Via";8;"MountingHole";;;
4;"D8,D7,D6,D5,D4,D3,D2,D1";"LED_0805_2012Metric";8;"LED red";;;
5;"J18,J13";"PinSocket_2x05_P2.54mm_Vertical";2;"Conn_02x05_Odd_Even";;;
6;"C1,C3,C4,C9,C2";"C_0805_2012Metric";5;"100nF";;;
7;"C5,C6,C7,C8";"C_1206_3216Metric";4;"1uF";;;
8;"JP1,JP2,JP3,JP4";"PinHeader_1x02_P2.54mm_Vertical";4;"Jumper";;;
9;"Q1,Q2,Q3,Q4";"SOT-223";4;"FQT13N06L";;;
10;"R1,R2,R3,R4";"R_0805_2012Metric";4;"100K";;;
11;"R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16";"R_0805_2012Metric";12;"330";;;
12;"R17,R19,R21,R23,R25,R27,R29,R31";"R_0805_2012Metric";8;"6.2K";;;
13;"R18,R20,R22,R24,R26,R28,R30,R32";"R_0805_2012Metric";8;"2.7K";;;
14;"TH1,TH2,TH3,TH4";"R_1206_3216Metric";4;"PTS12066V100";;;
15;"U1,U2,U3,U4";"SOT-23-5";4;"MCP1416";;;
16;"U5,U6,U7,U8";"SMDIP-6_W9.53mm";4;"VO14642AABTR";;;
17;"U9";"QSOP-20_3.9x8.7mm_P0.635mm";1;"SI8380P-IU";;;
18;"J2";"TerminalBlock_WECO_120-M-311_1x03_P5.00mm_Plug-in_PCB";1;"TB_1X3-PonchoPLC-rescue";;;
19;"J1";"TerminalBlock_WECO_120-M-311_1x02_P5.00mm_Plug-in_PCB";1;"TB_1X2-PonchoPLC-rescue";;;
20;"JE3,JE2,JE1,J6,J5,J4,J3";"TerminalBlock_WECO_120-M-311_1x02_P5.00mm_Plug-in_PCB";7;"TB_1X2";;;
21;"JE4";"TerminalBlock_WECO_120-M-311_1x03_P5.00mm_Plug-in_PCB";1;"TB_1X3";;;
22;" ";"OSHW-Logo2_7.3x6mm_Copper";1;" ";;;
23;" ";"Logo_Poncho";1;" ";;;
24;"J8";"TX24-40R-LT-H1E";1;"Conn_02x20_Counter_Clockwise";;;
